name|information missing in the glosses|information missing in the German text|lexical errors|minor differences|comment
12July_2010_Monday_tagesschau-381|0|0|1|0|x (? KOENNEN G vs muss mit gerechnet werden W)
17February_2011_Thursday_heute-382|0|0|0|1|x
17February_2011_Thursday_heute-383|0|0|0|1|x (! first time I see region names/city name signs in G)
17February_2011_Thursday_heute-384|0|0|0|1|x
17February_2011_Thursday_heute-385|0|0|1|0|lexical error (BESONDERS G vs der nächste W)
17February_2011_Thursday_heute-386|0|0|0|1|mostly x but KOENNEN in G missing in W
17February_2011_Thursday_heute-388|0|0|0|1|x
17February_2011_Thursday_heute-389|1|0|0|0|information missing in G (zusammen kommen W)
17February_2011_Thursday_heute-390|0|0|0|1|x
17February_2011_Thursday_heute-391|1|0|0|0|information missing in G (wie sie sehen W)
17February_2011_Thursday_heute-392|1|0|0|0|information missing in G (relativ W)
20October_2011_Thursday_tagesschau-503|0|0|0|1|x
20October_2011_Thursday_tagesschau-504|1|0|0|0|missing in G (ab morgen W)
20October_2011_Thursday_tagesschau-505|0|1|0|0|"missing in W (MORGEN in G, ""zähe Nebelfelder""?"
20October_2011_Thursday_tagesschau-507|1|0|0|0|missing in G (reif)
20October_2011_Thursday_tagesschau-508|0|0|1|0|WOLKE G vs. dichte Wolken W
20October_2011_Thursday_tagesschau-509|1|0|0|0|missing in G (no mention of zähe nebelfelder W)
20October_2011_Thursday_tagesschau-510|1|0|0|0|missing in G (an den küsten W)
20October_2011_Thursday_tagesschau-511|1|0|0|0|missing in G (an den küsten W)
20October_2011_Thursday_tagesschau-512|1|0|0|0|missing in G (am meer W)
20October_2011_Thursday_tagesschau-514|0|0|0|1|GLEICH GLEICH GLEICH G vs. ein ähnliches spiel W
20October_2011_Thursday_tagesschau-515|1|0|0|0|missing in G (stellenweise W)
18October_2010_Monday_heute-625|0|0|1|0|lexical error NORDWESTRAUM SÜDWESTRAUM G vs. nordwestwind südwestwind W
18October_2010_Monday_heute-626|0|0|0|1|x
18October_2010_Monday_heute-627|0|0|1|0|lexical error BLEIBEN G vs. ändert sich erstmal nicht viel W
18October_2010_Monday_heute-628|1|0|0|0|missing in G (vor allen dingen W)
06October_2010_Wednesday_tagesschau-631|0|0|0|1|x
06October_2010_Wednesday_tagesschau-633|0|1|0|0|missing in W (AUTOMATISCH G)
06October_2010_Wednesday_tagesschau-634|1|0|0|0|missing in G (wolken des atlantiktiefs W)
06October_2010_Wednesday_tagesschau-635|0|1|0|0|missing in W (GANZTAGS and STERN KOENNEN SEHEN)
06October_2010_Wednesday_tagesschau-636|1|0|0|0|missing in G (morgen W)
06October_2010_Wednesday_tagesschau-637|0|0|0|1|x
06October_2010_Wednesday_tagesschau-641|0|0|0|1|x
09November_2010_Tuesday_tagesschau-752|0|0|0|1|x
09November_2010_Tuesday_tagesschau-753|0|0|0|1|x
09November_2010_Tuesday_tagesschau-754|1|0|0|0|missing in G (im süden)
29May_2011_Sunday_tagesschau-755|0|0|0|1|x
29May_2011_Sunday_tagesschau-756|0|0|0|1|x
29May_2011_Sunday_tagesschau-757|1|0|0|0|? missing in G (vom atlantik)
29May_2011_Sunday_tagesschau-758|0|0|1|0|lexical error KOENNEN G vs. muss mit gerechnet werden W
29May_2011_Sunday_tagesschau-759|0|0|0|1|x
29May_2011_Sunday_tagesschau-760|0|0|1|0|(STERNE KOENNEN SEHEN vs. es ist klar)
29May_2011_Sunday_tagesschau-761|0|0|0|1|x
29May_2011_Sunday_tagesschau-762|0|0|0|1|x
29January_2013_Tuesday_tagesschau-881|0|0|0|1|x
29January_2013_Tuesday_tagesschau-883|0|0|0|1|? (LEFTHAND - aus westen?)
29January_2013_Tuesday_tagesschau-884|0|0|0|1|x
29January_2013_Tuesday_tagesschau-885|0|0|0|1|x
23October_2010_Saturday_tagesschau-886|0|0|0|1|x
23October_2010_Saturday_tagesschau-887|0|0|0|1|WECHSELHAFT vs. unbeständiges wetter W
23October_2010_Saturday_tagesschau-888|0|0|0|1|x
23October_2010_Saturday_tagesschau-889|1|0|0|0|missing in G (unter hochdruckeinfluss)
23October_2010_Saturday_tagesschau-890|0|0|0|1|x
23October_2010_Saturday_tagesschau-891|0|0|0|1|x
23October_2010_Saturday_tagesschau-892|0|0|0|1|x
31March_2010_Wednesday_tagesschau-1010|0|0|0|1|x
29October_2009_Thursday_tagesschau-1012|0|0|0|1|x
29October_2009_Thursday_tagesschau-1014|1|0|0|0|"wind missing in G, ""atlantische tiefausläufer"" ?"
29October_2009_Thursday_tagesschau-1015|1|0|0|0|information missing, G states NORD vs. nordoestlich W
29October_2009_Thursday_tagesschau-1016|0|0|0|1|x
29October_2009_Thursday_tagesschau-1017|1|0|0|0|information missing in G (im tagesverlauf kommt hervor W)
29October_2009_Thursday_tagesschau-1018|0|0|1|0|BESONDERS G vs. stehen die chancen am besten dafür W
29October_2009_Thursday_tagesschau-1019|1|0|0|0|information missing in G (an der nordsee, ost bis südost)
29October_2009_Thursday_tagesschau-1020|0|0|0|1|x
29October_2009_Thursday_tagesschau-1022|0|0|0|1|x
29October_2009_Thursday_tagesschau-1023|1|0|0|0|missing in G (von westen)
22October_2009_Thursday_tagesschau-1127|0|1|0|0|information in W (SCHOTTLAND never mentioned)
22October_2009_Thursday_tagesschau-1128|0|0|0|1|x
22October_2009_Thursday_tagesschau-1129|1|0|0|0|detail missing in G
22October_2009_Thursday_tagesschau-1131|0|0|0|1|x
22October_2009_Thursday_tagesschau-1132|0|0|0|1|x
22October_2009_Thursday_tagesschau-1133|0|0|0|1|x
22October_2009_Thursday_tagesschau-1134|1|0|0|0|detail missing in G (im süden aus west)
22October_2009_Thursday_tagesschau-1135|0|0|0|1|x
22October_2009_Thursday_tagesschau-1136|0|0|0|1|x
22October_2009_Thursday_tagesschau-1137|0|0|0|1|x
22October_2009_Thursday_tagesschau-1138|0|0|0|1|x
02August_2010_Monday_heute-1247|0|0|0|1|x
02August_2010_Monday_heute-1248|1|0|0|0|missing in G (meine damen und herren W)
20June_2011_Monday_tagesschau-1250|1|0|0|0|missing in G (nach deutschland ?)
20June_2011_Monday_tagesschau-1251|0|0|0|1|x
20June_2011_Monday_tagesschau-1252|0|0|1|0|lexical error ABEND G vs. nacht W
20June_2011_Monday_tagesschau-1254|0|0|0|1|x
20June_2011_Monday_tagesschau-1255|1|0|0|0|missing in G (ABER NOCHEINMAL)
20June_2011_Monday_tagesschau-1259|0|0|0|1|x
20June_2011_Monday_tagesschau-1260|0|0|0|1|x
21June_2011_Tuesday_tagesschau-1261|0|0|0|1|x
10January_2011_Monday_heute-1373|0|0|1|0|? WECHSELHAFT vs. kann recht unterschiedlich sein
10January_2011_Monday_heute-1374|1|0|0|0|detail missing in G
10January_2011_Monday_heute-1376|1|0|0|0|more detail in W (führt wahrscheinlich dazu dass sich die hochwassersituation wieder verschärft, not necessarily mentioned in G)
10January_2011_Monday_heute-1377|0|0|0|1|x
19April_2010_Monday_tagesschau-1378|0|0|0|1|x
19April_2010_Monday_tagesschau-1379|1|0|0|0|missing in G (tiefdruck in W, only DRUCK in G)
19April_2010_Monday_tagesschau-1380|1|0|0|0|missing in G (dichtere wolken W)
19April_2010_Monday_tagesschau-1381|0|0|0|1|x
19April_2010_Monday_tagesschau-1382|0|0|0|1|x
19April_2010_Monday_tagesschau-1383|0|0|1|0|BEWOELKT vs. dichtere wolken
19April_2010_Monday_tagesschau-1384|1|0|0|0|missing in G (norden W)
17February_2010_Wednesday_heute-1493|0|0|0|1|x
17February_2010_Wednesday_heute-1494|1|0|0|0|detail missing in G
08February_2010_Monday_heute-1495|1|0|0|0|missing in G (zuschauer)
08February_2010_Monday_heute-1496|0|0|0|1|x
08February_2010_Monday_heute-1502|0|0|1|0|ZUERST KALT vs. im kältesten
08February_2010_Monday_heute-1503|0|0|1|0|NORD vs. nordosten
08February_2010_Monday_heute-1504|0|0|0|1|x
08February_2010_Monday_heute-1505|1|0|0|0|lots of detail missing in G
08February_2010_Monday_heute-1506|0|0|0|1|x
08February_2010_Monday_heute-1507|0|0|1|0|SIEBEN vs. minus sieben
08February_2010_Monday_heute-1508|0|0|0|1|x
14June_2010_Monday_heute-1606|0|1|0|0|more detail in G
14June_2010_Monday_heute-1607|0|0|1|0|lexical error SCHOEN vs. spannend
07February_2011_Monday_tagesschau-1608|0|0|0|1|x
07February_2011_Monday_tagesschau-1609|0|0|0|1|x
07February_2011_Monday_tagesschau-1610|1|0|0|0|missing in G (ein ausläufer davon)
07February_2011_Monday_tagesschau-1611|0|0|0|1|x
07February_2011_Monday_tagesschau-1614|0|0|0|1|x
07February_2011_Monday_tagesschau-1615|0|0|0|1|x
07February_2011_Monday_tagesschau-1616|0|0|0|1|x
07February_2011_Monday_tagesschau-1617|0|0|0|1|x
07February_2011_Monday_tagesschau-1618|0|0|1|0|lexical error MEISTENS vs. zum teil
12January_2011_Wednesday_tagesschau-1734|1|0|0|0|detail missing in G (in den nordosten)
12January_2011_Wednesday_tagesschau-1735|0|0|0|1|x
12January_2011_Wednesday_tagesschau-1736|0|1|0|0|missing in W (WAHRSCHEINLICH)
12January_2011_Wednesday_tagesschau-1737|0|0|0|1|x
09March_2011_Wednesday_heute-1738|1|0|0|0|poss-EUCH missing in W
09March_2011_Wednesday_heute-1739|0|0|0|1|x
09March_2011_Wednesday_heute-1740|1|0|0|0|missing in G (wolken)
09March_2011_Wednesday_heute-1743|0|0|1|0|? (LICHT)
09March_2011_Wednesday_heute-1744|0|0|0|1|x
09March_2011_Wednesday_heute-1745|0|0|0|1|x
09March_2011_Wednesday_heute-1746|1|0|0|0|missing in G (auf jeden fall)
15February_2010_Monday_tagesschau-1849|0|0|1|0|NICHT vs. kein thema mehr
15February_2010_Monday_tagesschau-1850|0|0|0|1|x (but different order SCHNEE REGEN)
14July_2010_Wednesday_tagesschau-1851|0|0|0|1|x
14July_2010_Wednesday_tagesschau-1854|0|0|0|1|x
14July_2010_Wednesday_tagesschau-1855|0|0|0|1|x
14July_2010_Wednesday_tagesschau-1856|1|0|0|0|missing in G (lokal, richtung osten)
14July_2010_Wednesday_tagesschau-1857|1|0|0|0|missing in G (im osten)
14July_2010_Wednesday_tagesschau-1858|0|1|0|0|x
14July_2010_Wednesday_tagesschau-1859|1|0|0|0|missing in G (sturmböen, orkanböen)
14July_2010_Wednesday_tagesschau-1860|1|0|0|0|missing in G (directions)
14July_2010_Wednesday_tagesschau-1861|0|0|0|1|x
15September_2010_Wednesday_heute-2473|0|0|0|1|x (wenig vs. flaut ab)
15September_2010_Wednesday_heute-2474|1|0|0|0|(evtl weiterziehen in gebärdenvideo?)
15September_2010_Wednesday_heute-2475|0|1|0|0|completely missing in W TATSÄCHLICH HERBST
15September_2010_Wednesday_heute-2477|0|0|0|1|x
15September_2010_Wednesday_heute-2478|0|0|1|0|DURCHGEHEND SCHAUER vs. vereinzelte schauer
15September_2010_Wednesday_heute-2480|0|0|0|1|x
15September_2010_Wednesday_heute-2481|1|0|0|0|ZEIGEN-BILDSCHIRM vs. information provided in W
15September_2010_Wednesday_heute-2482|0|0|1|0|VERSCHWINDEN vs. ein bisschen abflauen
15September_2010_Wednesday_heute-2483|1|0|0|0|im süden missing in G
15September_2010_Wednesday_heute-2484|0|0|0|1|x
15September_2010_Wednesday_heute-2485|0|0|0|1|x
21April_2010_Wednesday_heute-3115|0|0|0|1|x
21April_2010_Wednesday_heute-3116|1|0|0|0|frisch genug für morgen früh 
21April_2010_Wednesday_heute-3117|0|0|0|1|x
21April_2010_Wednesday_heute-3118|0|0|0|1|x
21April_2010_Wednesday_heute-3119|1|0|0|0|zwischen ostsee und berlin 
21April_2010_Wednesday_heute-3120|0|0|0|1|x
21April_2010_Wednesday_heute-3121|1|0|0|0|nur .. nordwestwind (technically okay because referring to last sentence but doesn't work on its own
21April_2010_Wednesday_heute-3123|0|0|0|1|x
05September_2010_Sunday_tagesschau-3125|0|0|0|1|x
05September_2010_Sunday_tagesschau-3126|0|0|0|1|x
05September_2010_Sunday_tagesschau-3127|0|0|0|1|x
24January_2011_Monday_tagesschau-3716|0|0|0|1|x
24January_2011_Monday_tagesschau-3717|0|0|0|1|x
24January_2011_Monday_tagesschau-3718|1|0|0|0|regen missing in G
24January_2011_Monday_tagesschau-3719|1|0|0|0|locations missing in G
24January_2011_Monday_tagesschau-3722|1|0|0|0|an der ems missing in G
24January_2011_Monday_tagesschau-3723|0|0|0|1|x
24January_2011_Monday_tagesschau-3724|0|0|0|1|x
24January_2011_Monday_tagesschau-3725|1|0|0|0|weitgehend trocken missing in G
22April_2010_Thursday_tagesschau-3726|0|0|0|1|x
22April_2010_Thursday_tagesschau-3727|0|0|0|1|x
23May_2010_Sunday_tagesschau-4341|0|0|0|1|x
23May_2010_Sunday_tagesschau-4342|0|0|0|1|x
23May_2010_Sunday_tagesschau-4343|1|0|0|0|und gewitternähe
23May_2010_Sunday_tagesschau-4344|0|0|0|1|x
23May_2010_Sunday_tagesschau-4345|1|0|0|0|am oberrhein
23May_2010_Sunday_tagesschau-4346|0|0|0|1|x
11August_2009_Tuesday_tagesschau-4347|0|0|0|1|x
11August_2009_Tuesday_tagesschau-4348|0|0|0|1|x
11August_2009_Tuesday_tagesschau-4349|1|0|0|0|ein ableger des azorenhochs 
11August_2009_Tuesday_tagesschau-4350|1|0|0|0|zwischen diesen luftdruckgebieten
11August_2009_Tuesday_tagesschau-4351|1|0|0|0|einzelne
25April_2010_Sunday_tagesschau-4946|1|0|0|0|west(wind) in schauer- und gewitternähe missing in G
25April_2010_Sunday_tagesschau-4947|1|0|0|0|milde, kühle missing in G
25April_2010_Sunday_tagesschau-4948|0|0|0|1|x (frische missing in G)
22March_2011_Tuesday_tagesschau-4953|0|0|0|1|x
22March_2011_Tuesday_tagesschau-4954|0|0|0|1|x
22March_2011_Tuesday_tagesschau-4955|0|0|0|1|x
22March_2011_Tuesday_tagesschau-4957|0|0|0|1|x
22March_2011_Tuesday_tagesschau-4958|1|0|0|0|completely missing in G an der ostsee weht er frisch und stark
22March_2011_Tuesday_tagesschau-4959|0|0|0|1|x
22March_2011_Tuesday_tagesschau-4960|1|0|0|0|bei auflandigem wind missing in G
22March_2011_Tuesday_tagesschau-4961|0|0|0|1|x
18November_2009_Wednesday_tagesschau-5588|1|0|0|0|vereinzelt
18November_2009_Wednesday_tagesschau-5589|1|0|0|0|aus südlichen richtungen
18November_2009_Wednesday_tagesschau-5590|0|0|0|1|x
18November_2009_Wednesday_tagesschau-5591|0|0|0|1|x
18November_2009_Wednesday_tagesschau-5592|1|0|0|0|wolkig
18November_2009_Wednesday_tagesschau-5593|0|1|0|0|GLEICH WIE FREITAG
18November_2009_Wednesday_tagesschau-5594|0|0|0|1|x
12December_2010_Sunday_tagesschau-5595|0|0|0|1|x
12December_2010_Sunday_tagesschau-5596|1|0|0|0|locations and detail missing in G
12December_2010_Sunday_tagesschau-5598|0|1|0|0|MEER MEER (?) 
12December_2010_Sunday_tagesschau-5599|0|0|0|1|x
18July_2010_Sunday_tagesschau-6224|0|0|0|1|x
18July_2010_Sunday_tagesschau-6225|0|0|0|1|x
21April_2010_Wednesday_tagesschau-6226|0|0|0|1|x
21April_2010_Wednesday_tagesschau-6227|1|1|0|0|KALTFRONT missing in W, nach deutschland missing in G
21April_2010_Wednesday_tagesschau-6228|0|0|0|1|x
21April_2010_Wednesday_tagesschau-6229|0|0|0|1|x
21April_2010_Wednesday_tagesschau-6231|0|0|0|1|x
21April_2010_Wednesday_tagesschau-6232|0|0|0|1|x
21April_2010_Wednesday_tagesschau-6233|1|0|0|0|location etc missing in G
21April_2010_Wednesday_tagesschau-6234|0|0|1|0|FUENF vs vier
21April_2010_Wednesday_tagesschau-6236|0|0|0|1|x
10May_2010_Monday_tagesschau-6859|0|0|0|1|x
10May_2010_Monday_tagesschau-6860|0|0|0|1|x
10May_2010_Monday_tagesschau-6861|0|0|0|1|x
06July_2011_Wednesday_tagesschau-6862|0|0|0|1|x
06July_2011_Wednesday_tagesschau-6863|0|0|0|1|x
06July_2011_Wednesday_tagesschau-6864|0|0|0|1|x
06July_2011_Wednesday_tagesschau-6866|0|0|0|1|x
06July_2011_Wednesday_tagesschau-6867|0|0|0|1|x
06July_2011_Wednesday_tagesschau-6868|0|0|0|1|x
06July_2011_Wednesday_tagesschau-6869|0|0|0|1|x
06July_2011_Wednesday_tagesschau-6871|0|0|0|1|x
10December_2009_Thursday_tagesschau-7490|1|0|0|0|location more specific in W
10December_2009_Thursday_tagesschau-7491|0|0|1|0|KOENNEN UNTERSCHIED vs. maximal 
10December_2009_Thursday_tagesschau-7492|0|0|0|1|x
10December_2009_Thursday_tagesschau-7493|0|0|0|1|x
10December_2009_Thursday_tagesschau-7494|1|0|0|0|schneit es nur vereinzelt etwas missing in G 
28May_2010_Friday_tagesschau-7495|0|0|0|1|x
28May_2010_Friday_tagesschau-7497|1|0|0|0|des tiefs das nach großbritannien ... missing in G
28May_2010_Friday_tagesschau-7498|0|0|0|1|x
28May_2010_Friday_tagesschau-7499|1|1|0|0|GEWITTER missing in W, location details missing in G
28May_2010_Friday_tagesschau-7500|1|0|0|0|aus unterschiedlichen richtungen missing in G
28May_2010_Friday_tagesschau-7502|0|0|0|1|x
07April_2011_Thursday_tagesschau-8105|0|0|0|1|x
07April_2011_Thursday_tagesschau-8106|0|0|0|1|x
07April_2011_Thursday_tagesschau-8107|0|0|0|1|x
29March_2011_Tuesday_tagesschau-8109|1|0|0|0|sorgt für
29March_2011_Tuesday_tagesschau-8110|1|0|0|0|details
29March_2011_Tuesday_tagesschau-8112|0|0|0|1|x
29March_2011_Tuesday_tagesschau-8113|1|0|0|0|index used to refer to sentence before, doesn't work out of context
29March_2011_Tuesday_tagesschau-8114|0|0|0|1|x
29March_2011_Tuesday_tagesschau-8115|1|0|0|0|details
29March_2011_Tuesday_tagesschau-8116|1|0|0|0|location
29March_2011_Tuesday_tagesschau-8118|0|0|0|1|x
15July_2011_Friday_tagesschau-8721|0|0|0|1|x
15July_2011_Friday_tagesschau-8722|1|0|0|0|bis zur deutschen bucht etc missing in G
15July_2011_Friday_tagesschau-8723|0|0|0|1|x
15July_2011_Friday_tagesschau-8724|1|0|0|0|detail missing in G
15July_2011_Friday_tagesschau-8725|0|0|0|1|x
15July_2011_Friday_tagesschau-8727|0|0|0|1|x
15July_2011_Friday_tagesschau-8728|0|0|1|0|NÄCHSTE MONTAG statt nächste woche
06October_2012_Saturday_tagesschau-8731|1|0|0|0|kühle meeresluft etc missing in G
06October_2012_Saturday_tagesschau-8732|1|0|0|0|mitte richtung süden missing in G
06October_2012_Saturday_tagesschau-8733|0|0|0|1|x
06October_2012_Saturday_tagesschau-8734|0|0|1|0|KOMMEN vs zieht sich weiter nach süden zurück
24January_2011_Monday_tagesschau-3721|0|0|0|0|REGION vs. im allgäu
